stockName,shortTerm,longTerm,targetPercentage,stopLossPercentage,entryDifference,profitPercentage
RCOM_F1,8,200,0.01,0.008,5e-05,-0.946455171863736
RCOM_F1,10,200,0.01,0.008,5e-05,4.040992379606134
RCOM_F1,12,200,0.01,0.008,5e-05,4.257463674387885
RCOM_F1,14,200,0.01,0.008,5e-05,7.685404717952715
RCOM_F1,16,200,0.01,0.008,5e-05,-3.737309419763002
RCOM_F1,2,250,0.01,0.008,5e-05,-15.295971199004555
RCOM_F1,3,250,0.01,0.008,5e-05,-6.663804171255694
RCOM_F1,4,250,0.01,0.008,5e-05,6.559886347974264
RCOM_F1,6,250,0.01,0.008,5e-05,4.7644984807097
RCOM_F1,8,250,0.01,0.008,5e-05,-7.132022078482548
RCOM_F1,10,250,0.01,0.008,5e-05,0.43466783104779694
RCOM_F1,12,250,0.01,0.008,5e-05,16.5370820569837
RCOM_F1,14,250,0.01,0.008,5e-05,5.213017045010737
RCOM_F1,16,250,0.01,0.008,5e-05,-2.627524756835231
RCOM_F1,2,300,0.01,0.008,5e-05,-8.758402635977147
RCOM_F1,3,300,0.01,0.008,5e-05,-2.8091024072327886
RCOM_F1,4,300,0.01,0.008,5e-05,1.8960679592094465
RCOM_F1,6,300,0.01,0.008,5e-05,0.35893174944103823
RCOM_F1,8,300,0.01,0.008,5e-05,1.6846413103657198
RCOM_F1,10,300,0.01,0.008,5e-05,-7.067154288565581
RCOM_F1,12,300,0.01,0.008,5e-05,-2.36352794254846
RCOM_F1,14,300,0.01,0.008,5e-05,4.711595266897017
RCOM_F1,16,300,0.01,0.008,5e-05,0.9876902775968421
RCOM_F1,2,400,0.01,0.008,5e-05,-4.437268629044899
RCOM_F1,3,400,0.01,0.008,5e-05,-9.87912317150964
RCOM_F1,4,400,0.01,0.008,5e-05,-2.6924141208232166
RCOM_F1,6,400,0.01,0.008,5e-05,9.814550392859879
RCOM_F1,8,400,0.01,0.008,5e-05,-7.488441275840074
